CPT Codes,Procedure Code Category,Operative Procedure,Procedure Description,Procedure Code Descriptions
32667,THOR,Thoracic surgery ,"Noncardiac, nonvascular thoracic surgery; includes pneumonectomy and hiatal hernia repair or diaphragmatic hernia repair (except through abdominal approach)","Thoracoscopy, surgical; with therapeutic wedge resection (eg, mass or nodule), each No changeitional resection, ipsilateral (List separately in No changeition to code for primary procedure)"
32668,THOR,Thoracic surgery ,"Noncardiac, nonvascular thoracic surgery; includes pneumonectomy and hiatal hernia repair or diaphragmatic hernia repair (except through abdominal approach)","Thoracoscopy, surgical; with diagnostic wedge resection followed by anatomic lung resection (List separately in No changeition to code for primary procedure)"
32669,THOR,Thoracic surgery ,"Noncardiac, nonvascular thoracic surgery; includes pneumonectomy and hiatal hernia repair or diaphragmatic hernia repair (except through abdominal approach)","Thoracoscopy, surgical; with removal of a single lung segment (segmentectomy)"
32670,THOR,Thoracic surgery ,"Noncardiac, nonvascular thoracic surgery; includes pneumonectomy and hiatal hernia repair or diaphragmatic hernia repair (except through abdominal approach)","Thoracoscopy, surgical; with removal of two lobes (bilobectomy)"
32671,THOR,Thoracic surgery ,"Noncardiac, nonvascular thoracic surgery; includes pneumonectomy and hiatal hernia repair or diaphragmatic hernia repair (except through abdominal approach)","Thoracoscopy, surgical; with removal of lung (pneumonectomy)"
32672,THOR,Thoracic surgery ,"Noncardiac, nonvascular thoracic surgery; includes pneumonectomy and hiatal hernia repair or diaphragmatic hernia repair (except through abdominal approach)","Thoracoscopy, surgical; with resection-plication for emphysematous lung (bullous or non-bullous) for lung volume reduction (LVRS), unilateral includes any pleural procedure, when performed"
32800,THOR,Thoracic surgery ,"Noncardiac, nonvascular thoracic surgery; includes pneumonectomy and hiatal hernia repair or diaphragmatic hernia repair (except through abdominal approach)",Repair lung hernia through chest wall
32815,THOR,Thoracic surgery ,"Noncardiac, nonvascular thoracic surgery; includes pneumonectomy and hiatal hernia repair or diaphragmatic hernia repair (except through abdominal approach)",Open closure of major bronchial fistula
32905,THOR,Thoracic surgery ,"Noncardiac, nonvascular thoracic surgery; includes pneumonectomy and hiatal hernia repair or diaphragmatic hernia repair (except through abdominal approach)","Thoracoplasty, Schede type or extrapleural (all stages);"
32906,THOR,Thoracic surgery ,"Noncardiac, nonvascular thoracic surgery; includes pneumonectomy and hiatal hernia repair or diaphragmatic hernia repair (except through abdominal approach)","Thoracoplasty, Schede type or extrapleural (all stages); with closure of bronchopleural fistula"
32940,THOR,Thoracic surgery ,"Noncardiac, nonvascular thoracic surgery; includes pneumonectomy and hiatal hernia repair or diaphragmatic hernia repair (except through abdominal approach)","Pneumonolysis, extraperiosteal, including filling or packing procedures"
32960,THOR,Thoracic surgery ,"Noncardiac, nonvascular thoracic surgery; includes pneumonectomy and hiatal hernia repair or diaphragmatic hernia repair (except through abdominal approach)","Pneumothorax, therapeutic, intrapleural injection of air"
33020,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation",Pericardiotomy for removal of clot or foreign body (primary procedure)
33025,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation",Creation of pericardial window or partial resection for drainage
33030,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Pericardiectomy, subtotal or complete; without cardiopulmonary bypass"
33031,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Pericardiectomy, subtotal or complete; with cardiopulmonary bypass"
33050,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation",Resection of pericardial cyst or tumor
33120,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Excision of intracardiac tumor, resection with cardiopulmonary bypass"
33130,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation",Resection of external cardiac tumor
33202,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker","Insertion of epicardial electrode(s); open incision (e.g., thoracotomy, median sternotomy, subxiphoid approach)"
33203,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker","Insertion of epicardial electrode(s); endoscopic approach (e.g., thoracoscopy, pericardioscopy)"
33206,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Insertion of new or replacement of permanent pacemaker with transvenous electrode(s); atrial 
33207,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Insertion of new or replacement of permanent pacemaker with transvenous electrode(s); ventricular 
33208,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Insertion of new or replacement of permanent pacemaker with transvenous electrode(s); atrial and ventricular 
33212,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Insertion of pacemaker pulse generator only; with existing single lead 
33213,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Insertion of pacemaker pulse generator only; with existing dual leads 
33214,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker","Upgrade of implanted pacemaker system, conversion of single chamber system to dual chamber system (includes removal of previously placed pulse generator, testing of existing lead, insertion of new lead, insertion of new pulse generator) "
33215,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Repositioning of previously implanted transvenous pacemaker or implantable defibrillator (right atrial or right ventricular) electrode
33216,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker","Insertion of a single transvenous electrode, permanent pacemaker or implantable defibrillator "
33217,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker","Insertion of 2 transvenous electrodes, permanent pacemaker or implantable defibrillator "
33218,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker","Repair of single transvenous electrode, permanent pacemaker or implantable defibrillator "
33220,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Repair of 2 transvenous electrodes for permanent pacemaker or implantable defibrillator 
33221,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Insertion of pacemaker pulse generator only; with existing multiple leads 
33222,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Relocation of skin pocket for pacemaker 
33223,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Relocation of skin pocket for implantable defibrillator 
33224,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker","Insertion of pacing electrode, cardiac venous system, for left ventricular pacing, with attachment to previously placed pacemaker or implantable defibrillator pulse generator (including revision of pocket, removal, insertion, and/or replacement of existing generator)"
33225,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker","Insertion of pacing electrode, cardiac venous system, for left ventricular pacing, at time of insertion of implantable defibrillator or pacemaker pulse generator (e.g., for upgrade to dual chamber system) (List separately in No changeition to code for primary procedure)"
33226,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker","Repositioning of previously implanted cardiac venous system (left ventricular) electrode (including removal, insertion and/or replacement of existing generator)"
33227,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Removal of permanent pacemaker pulse generator with replacement of pacemaker pulse generator; single lead system 
33228,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Removal of permanent pacemaker pulse generator with replacement of pacemaker pulse generator; dual lead system 
33229,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Removal of permanent pacemaker pulse generator with replacement of pacemaker pulse generator; multiple lead system 
33230,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Insertion of implantable defibrillator pulse generator only; with existing dual leads 
33231,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Insertion of implantable defibrillator pulse generator only; with existing multiple leads 
33233,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Removal of permanent pacemaker pulse generator only 
33234,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker","Removal of transvenous pacemaker electrode(s); single lead system, atrial or ventricular "
33235,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Removal of transvenous pacemaker electrode(s); dual lead system 
33236,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker","Removal of permanent epicardial pacemaker and electrodes by thoracotomy; single lead system, atrial or ventricular"
33237,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Removal of permanent epicardial pacemaker and electrodes by thoracotomy; dual lead system
33238,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Removal of permanent transvenous electrode(s) by thoracotomy
33240,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Insertion of implantable defibrillator pulse generator only; with existing single lead 
33241,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Removal of implantable defibrillator pulse generator only 
33243,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Removal of single or dual chamber implantable defibrillator electrode(s); by thoracotomy
33244,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Removal of implantable defibrillator pulse generator with replacement of implantable defibrillator pulse generator; by transvenous extraction 
33249,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker","Insertion or replacement of permanent implantable defibrillator system, with transvenous lead(s), single or dual chamber "
33250,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Operative ablation of supraventricular arrhythmogenic focus or pathway (eg, Wolff-Parkinson-White, atrioventricular node re-entry), tract(s) and/or focus (foci); without cardiopulmonary bypass"
33251,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Operative ablation of supraventricular arrhythmogenic focus or pathway (eg, Wolff-Parkinson-White, atrioventricular node re-entry), tract(s) and/or focus (foci); with cardiopulmonary bypass"
33254,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Operative tissue ablation and reconstruction of atria, limited (eg, modified maze procedure)"
33255,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Operative tissue ablation and reconstruction of atria, extensive (eg, maze procedure); without cardiopulmonary bypass"
33256,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Operative tissue ablation and reconstruction of atria, extensive (eg, maze procedure); with cardiopulmonary bypass"
33257,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Operative tissue ablation and reconstruction of atria, performed at the time of other cardiac procedure(s), limited (eg, modified maze procedure) (List separately in No changeition to code for primary procedure)"
33258,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Operative tissue ablation and reconstruction of atria, performed at the time of other cardiac procedure(s), extensive (eg, maze procedure), without cardiopulmonary bypass (List separately in No changeition to code for primary procedure)"
33259,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Operative tissue ablation and reconstruction of atria, performed at the time of other cardiac procedure(s), extensive (eg, maze procedure), with cardiopulmonary bypass (List separately in No changeition to code for primary procedure)"
33261,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation",Operative ablation of ventricular arrhythmogenic focus with cardiopulmonary bypass
33262,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Removal of implantable defibrillator pulse generator with replacement of implantable defibrillator pulse generator; single lead system 
33263,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Removal of implantable defibrillator pulse generator with replacement of implantable defibrillator pulse generator; dual lead system 
33264,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Removal of implantable defibrillator pulse generator with replacement of implantable defibrillator pulse generator; multiple lead system 
33265,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Endoscopy, surgical; operative tissue ablation and reconstruction of atria, limited (eg, modified maze procedure), without cardiopulmonary bypass"
33266,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Endoscopy, surgical; operative tissue ablation and reconstruction of atria, extensive (eg, maze procedure), without cardiopulmonary bypass "
33267,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Exclusion of left atrial appendage, open, any method (eg, excision, isolation via stapling, oversewing, ligation, plication, clip)"
33268,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Exclusion of left atrial appendage, open, performed at the time of other sternotomy or thoracotomy procedure(s), any method (eg, excision, isolation via stapling, oversewing, ligation, plication, clip) (List separately in addition to primary procedure)"
33269,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Exclusion of left atrial appendage, thoracoscopic, any method (eg, excision, isolation via stapling, oversewing, ligation, plication, clip)"
33270,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker","Insertion or replacement of permanent subcutaneous implantable defibrillator system, with subcutaneous electrode, including defibrillation threshold evaluation, induction of arrhythmia, evaluation of sensing for arrhythmia termination, and programming or reprogramming of sensing or therapeutic parameters, when performed"
33271,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Insertion of subcutaneous implantable defibrillator electrode
33272,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Removal of subcutaneous implantable defibrillator electrode
33273,PACE,Pacemaker surgery,"Insertion, manipulation or replacement of pacemaker",Repositioning of previously implanted subcutaneous implantable defibrillator electrode
33300,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation",Repair of cardiac wound; without bypass 
33305,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation",Repair of cardiac wound; with cardiopulmonary bypass 
33310,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Cardiotomy, exploratory (includes removal of foreign body, atrial or ventricular thrombus); without bypass  "
33315,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Cardiotomy, exploratory (includes removal of foreign body, atrial or ventricular thrombus); with cardiopulmonary bypass "
33365,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; transaortic approach (eg, median sternotomy, mediastinotomy)"
33366,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; transapical exposure (eg, left thoracotomy) "
33390,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Valvuloplasty, aortic valve, open, with cardiopulmonary bypass; simple (ie, valvotomy, debridement, debulking, and/or simple commissural resuspension)"
33391,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Valvuloplasty, aortic valve, open, with cardiopulmonary bypass; complex (eg, leaflet extension, leaflet resection, leaflet reconstruction, or annuloplasty)"
33404,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation",Construction of apical-aortic conduit
33405,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Replacement, aortic valve, open, with cardiopulmonary bypass; with prosthetic valve other than homograft or stentless valve "
33406,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Replacement, aortic valve, with cardiopulmonary bypass; with allograft valve (freehand)"
33410,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Replacement, aortic valve, open, with cardiopulmonary bypass; with stentless tissue valve "
33411,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Replacement, aortic valve; with aortic annulus enlargement, noncoronary sinus "
33412,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Replacement, aortic valve; with transventricular aortic annulus enlargement (Konno procedure)"
33413,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Replacement, aortic valve; by translocation of autologous pulmonary valve with allograft replacement of pulmonary valve (Ross procedure) "
33414,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation",Repair of left ventricular outflow tract obstruction by patch enlargement of the outflow tract 
33415,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation",Resection or incision of subvalvular tissue for discrete subvalvular aortic stenosis 
33416,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Ventriculomyotomy (-myectomy) for idiopathic hypertrophic subaortic stenosis (eg, asymmetric septal hypertrophy)"
33417,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation",Aortoplasty (gusset) for supravalvular stenosis
33420,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Valvotomy, mitral valve; closed heart"
33422,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Valvotomy, mitral valve; open heart, with cardiopulmonary bypass"
33425,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Valvuloplasty, mitral valve, with cardiopulmonary bypass;"
33426,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Valvuloplasty, mitral valve, with cardiopulmonary bypass; with prosthetic ring"
33427,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Valvuloplasty, mitral valve, with cardiopulmonary bypass; radical reconstruction, with or without ring"
33430,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Replacement, mitral valve, with cardiopulmonary bypass"
33440,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation",Replacement of aortic valve by translocation of autologous pulmonary valve and transventricular aortic annulus enlargement of left ventricular outflow tract with valved conduit replacement of pulmonary valve
33460,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Valvectomy, tricuspid valve, with cardiopulmonary bypass"
33463,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Valvuloplasty, tricuspid valve; without ring insertion "
33464,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Valvuloplasty, tricuspid valve; with ring insertion"
33465,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Replacement, tricuspid valve, with cardiopulmonary bypass "
33468,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation",Tricuspid valve repositioning and plication for Ebstein anomaly
33470,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Valvotomy, pulmonary valve, closed heart; transventricular"
33471,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Valvotomy, pulmonary valve, closed heart; via pulmonary artery"
33474,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Valvotomy, pulmonary valve, open heart, with cardiopulmonary bypass"
33475,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Replacement, pulmonary valve "
33476,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Right ventricular resection for infundibular stenosis, with or without commissurotomy"
33478,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Outflow tract augmentation (gusset), with or without commissurotomy or infundibular resection"
33496,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation",Repair of non-structural prosthetic valve dysfunction with cardiopulmonary bypass (separate procedure)
33509,CBGB,Coronary bypass with chest & donor incisions,Chest procedure to perform direct revascularization of the heart; includes obtaining suitable vein from donor site for grafting,Endoscopic harvest of single upper extremity artery segment for coronary artery bypass procedure
33510,CBGB,Coronary bypass with chest & donor incisions,Chest procedure to perform direct revascularization of the heart; includes obtaining suitable vein from donor site for grafting,"Coronary artery bypass, vein only; single coronary venous graft"
33511,CBGB,Coronary bypass with chest & donor incisions,Chest procedure to perform direct revascularization of the heart; includes obtaining suitable vein from donor site for grafting,"Coronary artery bypass, vein only; 2 coronary venous grafts"
33512,CBGB,Coronary bypass with chest & donor incisions,Chest procedure to perform direct revascularization of the heart; includes obtaining suitable vein from donor site for grafting,"Coronary artery bypass, vein only; 3 coronary venous grafts"
33513,CBGB,Coronary bypass with chest & donor incisions,Chest procedure to perform direct revascularization of the heart; includes obtaining suitable vein from donor site for grafting,"Coronary artery bypass, vein only; 4 coronary venous grafts"
33514,CBGB,Coronary bypass with chest & donor incisions,Chest procedure to perform direct revascularization of the heart; includes obtaining suitable vein from donor site for grafting,"Coronary artery bypass, vein only; 5 coronary venous grafts"
33516,CBGB,Coronary bypass with chest & donor incisions,Chest procedure to perform direct revascularization of the heart; includes obtaining suitable vein from donor site for grafting,"Coronary artery bypass, vein only; 6 or more coronary venous grafts"
33533,CBGC,Coronary bypass graft with chest incision,Chest procedures to perform direct vascularization of the internal mammary (thoracic) artery,"Coronary artery bypass, using arterial graft(s); single arterial graft"
33534,CBGC,Coronary bypass graft with chest incision,Chest procedures to perform direct vascularization of the internal mammary (thoracic) artery,"Coronary artery bypass, using arterial graft(s); 2 coronary arterial grafts"
33535,CBGC,Coronary bypass graft with chest incision,Chest procedures to perform direct vascularization of the internal mammary (thoracic) artery,"Coronary artery bypass, using arterial graft(s); 3 coronary arterial grafts"
33536,CBGC,Coronary bypass graft with chest incision,Chest procedures to perform direct vascularization of the internal mammary (thoracic) artery,"Coronary artery bypass, using arterial graft(s);  4 or more coronary arterial grafts"
33542,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Myocardial resection (eg, ventricular aneurysmectomy)"
33545,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Repair of postinfarction ventricular septal defect, with or without myocardial resection "
33548,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Surgical ventricular restoration procedure, includes prosthetic patch, when performed (eg, ventricular remodeling, SVR, SAVER, Dor procedures)"
33600,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation",Closure of atrioventricular valve (mitral or tricuspid) by suture or patch
33602,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation",Closure of semilunar valve (aortic or pulmonary) by suture or patch
33608,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation",Repair of complex cardiac anomaly other than pulmonary atresia with ventricular septal defect by construction or replacement of conduit from right or left ventricle to pulmonary artery 
33610,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Repair of complex cardiac anomalies (eg, single ventricle with subaortic obstruction) by surgical enlargement of ventricular septal defect"
33611,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation",Repair of double outlet right ventricle with intraventricular tunnel repair; 
33612,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation",Repair of double outlet right ventricle with intraventricular tunnel repair; with repair of right ventricular outflow tract obstruction 
33615,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Repair of complex cardiac anomalies (eg, tricuspid atresia) by closure of atrial septal defect and anastomosis of atria or vena cava to pulmonary artery (simple Fontan procedure)"
33617,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Repair of complex cardiac anomalies (e.g., single ventricle by modified Fontan)"
33619,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Repair of single ventricle with aortic outflow obstruction and aortic arch hypoplasia (hypoplastic left heart syndrome) (eg, Norwood procedure)"
33641,CARD,Cardiac surgery,"Procedures on the heart; includes valves or septum; does not include coronary artery bypass graft, surgery on vessels, heart transplantation, or pacemaker implantation","Repair atrial septal defect, secundum, with cardiopulmonary bypass, with or without patch "
